Time(ms),Ax(g),Ay(g),Az(g)
36629,0.541,-0.417,0.511
36730,0.609,-0.249,0.479
36831,0.743,0.039,0.384
36932,0.775,-0.177,0.383
37033,0.413,0.085,0.391
37134,0.260,-0.010,0.467
37235,0.124,-0.311,0.557
37336,0.049,-0.336,0.525
37437,0.025,-0.064,0.573
37538,0.023,-0.015,0.625
37639,-0.010,-0.124,0.785
37740,-0.313,0.474,1.561
37841,-0.561,0.058,1.815
37942,-0.914,-0.047,1.970
38043,-1.022,-0.008,1.970
38144,-1.160,-0.046,1.970
38245,-1.026,-0.111,1.970
38346,-1.316,0.785,1.970
38447,-0.727,0.329,1.779
38548,-0.342,0.191,1.726
38649,-0.308,0.037,1.654
38750,0.196,0.077,1.067
38851,0.372,0.138,0.766
38952,0.443,0.085,0.707
39053,0.524,0.833,0.439
39154,0.695,0.703,0.449
39255,0.755,0.185,0.351
39356,0.785,0.151,0.390
39457,0.626,0.418,0.380
39558,0.565,0.566,0.436
39659,0.260,0.915,0.654
39760,0.309,0.802,0.806
39861,0.273,0.625,0.888
39962,0.123,0.453,1.008
40063,-0.075,0.618,0.978
40164,-0.181,0.824,1.204
40265,-0.204,0.792,1.439
40366,-1.613,0.458,1.970
40467,-1.856,0.234,1.970
40568,-1.936,0.015,1.891
40669,-1.930,0.231,1.905
40770,-1.688,0.219,1.970
40871,-1.374,0.059,1.970
40972,-1.163,0.061,1.857
41073,-0.913,0.312,1.544
41174,0.023,-0.198,0.876
41275,0.205,0.056,0.884
41376,0.323,0.112,0.780
41477,0.431,0.093,0.681
41578,0.345,0.309,0.416
41679,0.348,0.482,0.061
41780,0.413,0.418,0.101
41881,0.500,-0.045,0.466
41987,-0.564,0.079,1.660
42088,-0.371,0.027,1.526
42189,-0.114,-0.174,1.350
42290,-0.021,-0.244,1.239
42391,0.039,-0.238,0.971
42492,0.687,-0.778,0.644
42593,0.586,-0.609,0.483
42694,0.546,-0.388,0.350
42795,0.649,-0.315,0.403
42896,0.708,-0.385,0.336
42997,0.971,-0.080,0.422
43098,0.866,-0.371,0.365
43199,0.661,-0.336,0.160
43300,0.623,-0.079,0.009
43401,0.737,-0.008,0.033
43502,0.735,0.073,0.202
43603,0.723,-0.215,0.363
43704,0.236,-0.005,0.754
43805,0.143,0.102,0.722
43906,0.127,0.360,0.862
44007,0.058,0.363,0.924
44108,-0.050,0.287,1.137
44209,-0.213,-0.072,1.589
44310,-0.561,-0.222,1.320
44411,-0.491,-0.218,1.119
44512,-0.466,-0.111,1.149
44613,-0.228,-0.124,0.971
44714,-0.141,-0.074,1.001
44815,0.048,-0.444,0.941
44916,0.902,0.085,0.905
45017,0.950,-0.182,0.882
45118,0.965,-0.151,0.789
45219,0.874,-0.045,0.668
45320,0.931,-0.037,0.635
45421,1.002,-0.208,0.634
45522,1.014,0.765,0.524
45623,1.023,0.562,0.587
45724,0.958,0.383,0.536
45825,0.896,0.297,0.556
45926,0.725,0.236,0.523
46027,0.696,0.062,0.413
46128,0.286,0.304,0.777
46229,0.244,0.066,0.787
46330,0.178,0.026,0.790
46431,0.111,0.236,0.807
46532,0.128,0.432,0.886
46633,0.007,0.330,0.962
46734,-0.353,-0.028,1.182
46835,-0.333,-0.211,1.394
46936,-0.483,-0.423,1.574
47037,-0.264,-0.273,1.291
47138,-0.066,-0.134,1.181
47239,0.142,-0.110,0.982
47340,0.316,-0.373,1.034
47441,0.866,0.665,0.830
47542,0.925,0.631,0.765
47643,0.938,0.933,0.725
47744,0.938,0.967,0.700
47845,0.946,0.831,0.633
47946,1.016,0.721,0.591
48047,0.974,0.698,0.580
48148,0.769,0.762,0.547
48249,0.727,0.797,0.560
48350,0.682,0.848,0.625
48451,0.697,0.837,0.667
48552,0.580,0.884,0.613
48653,0.492,0.753,0.723
48754,0.588,0.337,0.788
48855,0.038,0.730,0.960
48956,0.026,0.635,0.955
49057,0.070,0.514,1.019
49158,-0.053,0.453,1.033
49259,-0.066,0.141,1.087
49360,-0.028,0.475,1.503
49461,0.010,0.230,1.495
49562,-0.022,0.097,1.409
49663,-0.120,0.177,1.530
49764,0.109,0.251,1.443
49865,0.566,0.056,1.274
49966,0.751,0.100,1.182
50067,0.733,0.371,1.075
50168,0.794,0.824,0.658
50269,0.821,0.810,0.688
50370,0.796,0.816,0.582
50471,0.843,0.854,0.655
50572,0.809,0.782,0.534
50673,0.803,0.838,0.462
50774,0.858,0.994,0.516
50875,0.560,0.179,0.474
50976,0.529,0.267,0.555
51077,0.409,0.313,0.624
51178,0.390,0.394,0.722
51279,0.460,0.503,0.734
51380,0.390,0.710,0.721
51481,-0.024,0.555,1.069
51582,0.051,0.677,1.160
51683,0.093,0.672,1.238
51784,0.089,0.537,1.200
51885,0.071,0.323,1.208
51986,-0.069,0.387,1.149
52087,0.044,0.572,1.543
52188,-0.013,0.589,1.759
52289,-0.133,0.570,1.873
52390,0.037,0.319,1.747
52491,0.211,0.319,1.575
52592,0.430,0.521,1.362
52693,0.746,0.719,0.833
52794,0.828,0.675,0.909
52895,0.832,0.663,0.873
52996,0.907,0.625,0.807
53097,0.914,0.609,0.714
53198,0.866,0.765,0.596
53299,0.597,-0.243,0.177
53400,0.675,-0.097,0.267
53501,0.592,-0.042,0.284
53602,0.529,0.115,0.410
53703,0.535,0.246,0.724
53804,0.447,0.385,0.767
53905,-0.025,-0.360,0.758
54006,-0.017,-0.140,0.884
54107,0.083,0.061,1.007
54208,0.036,0.324,1.101
54309,0.081,0.425,1.109
54410,0.005,0.551,1.032
54511,-0.140,0.162,1.426
54612,-0.264,0.470,1.536
54713,-0.176,0.696,1.641
54814,-0.087,0.671,1.681
54915,-0.028,0.333,1.584
55016,-0.047,0.288,1.618
55117,-0.114,0.369,1.682
55218,0.260,0.739,1.327
55319,0.640,0.763,1.011
55420,0.784,0.682,0.885
55521,0.828,0.647,0.848
55622,0.756,0.646,0.727
55723,0.753,0.730,0.693
55824,0.801,0.842,0.702
55925,0.656,-0.277,0.325
56026,0.590,-0.201,0.249
56127,0.731,-0.059,0.361
56228,0.686,-0.017,0.509
56329,0.532,0.108,0.570
56430,0.502,0.351,0.661
56531,0.115,-0.297,0.639
56632,0.053,-0.093,0.764
56733,0.035,-0.044,0.921
56834,0.096,-0.014,1.061
56935,0.034,0.443,0.999
57036,-0.041,0.875,0.971
57137,0.127,0.927,1.223
57238,-0.161,0.608,1.415
57339,-0.141,0.480,1.450
57440,-0.114,0.492,1.468
57541,-0.053,0.509,1.466
57642,0.143,0.344,1.659
57743,-0.129,0.605,1.545
57844,0.106,0.706,1.505
57952,-1.284,0.724,1.653
58053,-1.643,0.637,1.949
58154,-1.778,0.393,1.962
58255,-1.670,0.394,1.970
58356,-1.077,-0.219,1.730
58457,-0.943,0.028,1.681
58558,-1.079,-0.113,1.857
58659,-0.907,-0.193,1.766
58760,-0.646,-0.148,1.498
58861,-0.394,-0.035,1.238
58962,0.255,-0.494,0.568
59063,0.271,-0.302,0.642
59164,0.360,-0.353,0.698
59265,0.289,-0.249,0.593
59366,0.319,-0.115,0.535
59467,0.401,-0.033,0.385
59568,0.507,-0.172,0.174
59669,0.538,0.185,0.293
59770,0.435,0.365,0.405
59871,0.239,0.409,0.292
59972,0.223,0.256,0.283
60073,0.183,0.160,0.126
60174,-0.036,0.161,0.523
60275,-0.148,0.744,0.666
60376,-0.233,0.754,0.838
60477,-0.379,0.574,0.832
60578,-0.401,0.531,0.860
60679,-0.296,0.294,1.286
60780,-1.587,0.171,1.728
60881,-1.870,0.488,1.970
60982,-1.980,0.629,1.970
61083,-1.980,0.521,1.970
61184,-1.797,0.393,1.970
61285,-1.649,0.221,1.959
61386,-0.363,-0.609,1.461
61487,-0.275,-0.296,1.285
61588,-0.249,-0.227,1.330
61689,-0.272,-0.205,1.306
61790,-0.211,-0.178,1.133
61891,-0.011,-0.039,0.704
61992,0.046,0.232,0.588
62093,0.406,-0.062,0.438
62194,0.485,0.180,0.611
62295,0.494,0.091,0.544
62396,0.377,0.126,0.370
62497,0.296,0.207,0.165
62598,0.480,0.260,0.230
62699,0.289,0.495,0.268
62800,0.127,0.657,0.355
62901,-0.034,0.502,0.302
63002,0.114,0.505,0.515
63103,0.449,0.317,0.709
63204,-0.212,0.289,0.675
63305,-0.301,0.665,0.701
63406,-0.445,0.885,1.098
63507,-0.520,0.693,1.545
63608,-0.962,0.487,1.887
63709,-1.085,0.358,1.970
63810,-0.929,0.347,1.970
63911,-1.592,0.467,1.822
64012,-1.639,0.670,1.970
64113,-1.723,0.613,1.970
64214,-1.552,0.630,1.963
64315,-1.206,0.441,1.954
64416,-0.659,0.415,1.773
64517,-0.056,-0.187,0.974
64618,0.073,0.104,0.904
