Time(ms),Ax(g),Ay(g),Az(g)
76660,-0.882,-0.330,1.536
76861,0.526,-0.417,1.244
77062,0.797,-0.259,0.691
77263,0.868,0.185,0.652
77464,0.844,0.278,0.415
77665,1.018,0.587,0.601
77866,0.964,0.068,0.423
78067,0.603,0.081,0.575
78268,0.664,-0.032,0.678
78469,0.035,-0.178,0.523
78670,-0.142,-0.385,0.914
78871,-0.186,-0.604,1.728
79072,-0.768,-0.479,1.873
79273,-0.091,-0.717,1.601
79474,0.525,-0.494,1.292
79675,0.629,-0.317,0.959
79876,1.102,-0.308,0.416
80077,1.087,-0.481,0.275
80278,1.131,0.100,0.443
80479,0.954,0.125,0.461
80680,0.970,0.009,0.539
80881,0.203,-0.451,1.042
81082,0.136,-0.632,1.197
81283,0.099,-0.595,1.543
81484,-0.591,-0.380,1.814
81685,-0.652,-0.719,1.661
81886,-0.313,-0.720,1.730
82087,0.555,-0.135,1.011
82288,0.779,-0.408,0.772
82489,1.065,-0.553,0.498
82690,1.172,0.065,0.558
82891,1.105,-0.267,0.356
83092,1.012,-0.943,0.183
83293,0.798,-0.645,0.451
83494,0.406,-0.661,0.719
83695,0.275,-0.930,1.128
83896,0.073,-0.325,1.367
84097,-0.564,-0.417,1.970
84298,-0.232,-0.826,1.853
84499,-0.110,-0.250,1.861
84700,0.450,-0.481,1.179
84901,0.937,-0.534,0.862
85102,0.907,-0.186,0.329
85303,1.091,-0.287,0.128
85504,1.195,-0.918,0.170
85705,0.869,-0.736,0.131
85906,0.664,-0.748,0.211
86107,0.078,-0.828,0.988
86308,-0.201,-0.456,1.443
86509,-0.299,-0.386,1.750
86710,-0.509,-0.722,1.892
86911,-0.671,-0.385,1.970
87112,0.282,0.046,1.178
87313,0.434,-0.309,0.649
87514,0.710,-0.107,0.409
87715,0.935,-0.111,0.398
87916,1.088,-0.719,0.049
88117,1.055,-0.355,0.288
88318,0.968,-0.354,0.383
88519,0.660,-0.837,0.603
88720,0.057,-0.547,1.029
88921,-0.057,-0.569,1.456
89122,-0.656,0.122,1.970
89323,-0.741,-0.129,1.895
89524,-0.237,-0.008,1.502
89725,-0.045,-0.174,1.294
89926,0.326,-0.247,0.812
90127,0.718,0.026,0.555
90328,0.936,0.065,0.332
90529,1.113,-0.376,0.232
90730,1.089,-0.075,0.348
90931,0.968,-0.396,0.499
91132,0.668,-0.621,0.635
91333,-0.146,0.322,1.562
91534,-0.653,0.492,1.970
91735,-0.840,-0.088,1.970
91936,-0.629,0.127,1.881
92137,-0.237,-0.135,1.591
92338,0.677,-0.546,0.773
92539,0.613,-0.288,0.496
92740,0.728,-0.077,0.364
92941,0.887,-0.372,0.231
93142,0.819,-0.023,-0.000
93343,0.406,0.397,0.200
93544,0.312,0.084,0.579
93745,0.139,0.355,0.773
93946,-0.112,0.653,1.192
94147,-0.725,0.197,1.957
94348,-0.415,-0.088,1.233
94549,0.033,-0.134,1.081
94750,0.470,-0.292,0.895
94951,0.568,-0.136,0.713
95152,0.748,0.073,0.559
95353,1.073,0.477,0.583
95554,0.964,0.267,0.455
95755,0.627,0.202,0.396
95956,0.433,-0.061,0.279
96157,0.203,0.365,0.472
96358,-0.291,0.147,0.861
96559,-0.330,0.001,1.086
96760,-0.750,-0.021,1.368
96961,-0.213,-0.133,1.098
97162,0.212,-0.472,1.083
97363,0.914,0.473,0.708
97564,0.977,0.658,0.571
97765,1.081,0.620,0.583
97966,1.053,0.696,0.548
98167,1.039,0.507,0.486
98368,0.790,0.298,0.579
98569,0.269,0.518,1.019
98770,0.137,0.219,1.020
98971,-0.038,0.092,1.119
99172,-0.331,-0.023,1.045
99373,-0.574,-0.015,1.182
99574,0.768,0.287,1.151
