Time(ms),Ax(g),Ay(g),Az(g)
16758,0.375,0.607,0.942
16810,0.456,-0.717,0.716
16860,0.548,0.357,0.330
16912,0.701,-0.306,0.534
16963,0.458,-0.080,0.683
17014,-0.058,0.512,1.606
17064,-0.165,-0.527,1.495
17116,-1.600,0.738,1.970
17167,-0.476,-0.167,1.697
17218,-0.115,-0.499,1.078
17268,0.880,0.605,0.819
17320,0.697,-0.331,0.513
17371,0.815,0.404,0.659
17422,0.378,0.479,0.472
17472,0.793,-0.508,0.643
17524,-0.239,0.595,0.902
17575,-0.687,0.667,1.267
17626,-0.625,-0.357,1.356
17676,-0.987,0.367,1.970
17728,0.540,-0.519,0.901
17778,-0.266,0.477,1.152
17834,0.216,-0.440,0.893
17885,-0.950,0.756,1.419
17936,0.040,-0.036,1.341
17986,-0.542,-0.417,1.529
18038,-0.307,0.142,1.970
18088,0.632,-0.099,1.029
18140,0.159,0.118,0.697
18190,0.844,-0.135,0.427
18242,0.510,0.042,0.327
18292,0.895,0.178,0.504
18344,0.360,-0.495,0.340
18394,0.233,0.679,0.929
18446,-0.729,0.711,1.970
18497,-0.318,-0.080,1.209
18548,-1.238,0.139,1.970
18599,-0.521,-0.280,1.938
18650,0.319,0.311,0.566
18701,0.068,0.223,0.846
18752,1.006,-0.512,0.202
18802,0.494,-0.104,0.827
18854,0.806,-0.448,0.259
18904,0.033,0.423,0.528
18956,0.036,0.268,0.626
19006,-0.726,-0.727,1.315
19062,0.404,0.743,0.689
19113,0.884,0.306,0.404
19164,0.079,0.261,0.320
19214,0.760,-0.670,0.348
19266,0.191,0.536,1.284
19316,0.009,0.178,1.248
19368,-1.423,0.371,1.797
19418,-0.464,-0.109,1.636
19470,0.316,-0.785,1.042
19520,0.671,0.932,1.252
19572,0.553,0.528,0.554
19623,0.968,-0.344,0.448
19674,0.478,0.271,0.273
19724,0.337,0.644,0.489
19776,0.031,-0.292,1.170
19826,-0.295,0.538,1.463
19878,-0.549,-0.489,1.842
19929,-1.382,0.177,1.970
19980,-0.158,-0.409,0.996
20030,0.334,-0.811,0.536
20082,0.956,0.475,1.060
20132,0.543,-0.532,0.397
20184,0.474,-0.262,0.177
20234,0.343,0.115,0.472
20291,0.077,0.202,1.104
20342,1.128,-0.354,0.977
20393,0.431,-0.305,0.363
20443,0.776,0.821,0.690
20495,0.197,-0.114,0.509
20545,0.139,-0.123,0.468
20597,-0.119,0.806,1.262
20647,-0.203,0.115,1.395
20699,-1.189,0.038,1.787
20750,-1.083,0.698,1.836
20801,0.659,-0.583,0.757
20851,0.284,0.346,1.654
20903,0.818,-0.401,0.227
20953,0.281,0.387,0.453
21005,0.860,-0.462,0.167
21055,0.306,-0.379,0.542
21107,0.145,0.876,1.047
21157,-0.252,-0.296,1.220
21209,-0.344,0.068,1.214
21260,-1.371,0.583,1.970
21311,-0.413,-0.436,1.970
21362,0.342,-0.142,0.661
21413,-0.377,0.463,1.669
21463,1.017,0.004,0.288
21520,-1.100,0.463,1.970
21571,-0.026,0.446,1.647
21622,-0.611,0.039,1.529
21672,-0.096,-0.675,1.421
21724,0.310,0.431,0.270
21774,0.398,0.253,0.663
21826,0.846,-0.764,0.228
21876,0.217,0.120,0.450
21928,0.410,-0.308,0.530
21978,-0.816,0.792,1.453
22030,-0.091,0.131,1.414
22081,-0.820,-0.659,1.602
22132,0.465,0.205,1.446
22183,0.549,-0.568,0.943
22234,0.603,0.082,0.889
22285,0.357,0.402,0.258
22336,0.749,-0.754,0.502
22387,0.432,0.321,0.217
22438,-0.332,0.794,0.614
22488,0.272,-0.429,1.113
22540,-0.690,0.488,1.970
22590,-0.599,-0.103,1.720
22642,-1.206,0.393,1.841
22692,0.559,-0.818,0.972
22746,0.608,0.047,0.319
22798,0.799,-0.397,0.545
22849,-0.068,0.084,1.086
22899,-0.769,0.498,1.801
22951,-0.700,-0.680,1.625
23001,-0.996,-0.024,1.970
23053,0.218,-0.065,0.755
23103,0.000,-0.140,0.751
23155,1.030,-0.307,0.770
23206,0.483,-0.503,0.345
23257,0.746,1.130,0.499
23308,0.034,-0.330,0.572
23359,0.094,-0.083,0.626
23410,-0.051,0.867,1.620
23461,-0.038,-0.054,1.409
23511,-1.334,0.016,1.735
23563,-0.849,0.258,1.685
23614,0.728,-0.192,0.864
23665,0.295,0.061,1.704
23715,0.918,-0.029,0.254
23767,0.497,0.056,0.186
23818,0.873,-0.167,0.020
23869,0.347,-0.542,0.451
23919,0.228,0.834,1.134
23975,1.316,-0.205,0.753
24027,0.632,0.526,0.806
24078,0.908,-0.341,0.212
24128,0.258,0.502,0.538
24180,0.294,0.034,0.720
24231,-0.677,-0.602,1.735
24282,-0.047,0.166,1.236
24332,-1.327,-0.349,1.970
24384,-0.295,0.146,1.653
24434,-0.440,0.688,1.042
24486,0.079,-0.459,1.169
24536,0.536,0.236,0.122
24588,0.340,0.625,0.758
24639,0.926,-0.687,0.324
24690,0.295,0.357,1.187
24741,0.279,-0.667,0.756
24792,-1.130,0.462,1.542
24842,-0.466,-0.059,1.226
24894,-0.582,-0.825,1.632
24944,0.516,0.625,1.281
24996,0.605,0.034,0.579
25046,0.783,0.316,0.649
25098,0.547,0.681,0.238
25148,0.837,-0.337,0.361
25204,-0.578,0.018,1.598
25255,0.247,-0.432,1.037
25306,0.780,0.643,0.751
25357,0.716,-0.264,0.695
25408,0.739,-0.125,0.525
25459,0.322,0.994,0.474
25510,0.760,-0.782,0.602
25560,-0.201,0.412,0.852
25612,-0.830,0.558,1.550
25662,-0.652,-0.531,1.404
25714,-1.226,0.359,1.970
25765,-0.128,-0.327,1.665
25816,-0.464,0.234,1.194
25866,0.958,-0.865,0.728
25918,0.280,-0.243,0.401
25968,0.876,0.640,0.536
26020,0.198,-0.159,0.426
26070,0.262,0.159,0.789
26122,-0.125,0.962,1.307
26172,-0.145,-0.409,1.670
26224,-1.355,0.232,1.957
26274,-1.161,0.371,1.899
26326,0.773,-0.471,0.728
26376,-0.076,0.366,1.752
26432,-0.278,-0.027,1.086
