Time(ms),Ax(g),Ay(g),Az(g)
19150,0.766,0.641,0.727
19201,0.481,0.260,0.556
19251,0.704,-1.096,0.505
19303,0.271,0.821,0.611
19354,0.276,-0.220,0.613
19405,-0.083,-0.118,1.353
19455,-0.476,0.238,0.977
19507,-0.577,-0.381,1.899
19557,-1.565,0.471,1.970
19609,0.210,-0.390,0.565
19659,0.157,-0.578,1.012
19711,0.973,0.874,0.516
19762,0.713,-0.028,0.394
19813,0.821,-0.696,0.388
19864,0.557,0.392,0.481
19915,0.108,-0.261,0.670
19965,-0.589,0.241,1.680
20017,-0.726,0.595,1.620
20068,-0.406,-0.779,1.970
20119,-1.039,0.353,1.970
20170,0.512,-0.304,0.344
20224,0.131,0.362,0.789
20276,0.073,0.021,1.140
20327,-1.197,0.306,1.776
20377,-1.264,0.036,1.970
20429,-0.180,-0.263,1.374
20480,0.248,0.325,1.164
20531,0.918,-0.138,0.585
20581,0.689,-0.125,0.570
20633,0.791,0.628,0.820
20684,0.243,-0.151,0.618
20735,-0.052,0.120,0.941
20785,-0.826,0.394,1.970
20837,-0.779,-0.726,1.913
20887,-1.210,-0.088,1.970
20939,-0.570,0.133,1.592
20989,0.547,0.515,0.428
21041,0.378,0.024,0.423
21091,0.947,-0.487,0.415
21143,0.550,0.536,0.587
21193,0.678,-0.374,0.418
21245,0.104,-0.102,0.972
21295,0.050,-0.149,0.771
21347,-1.424,-0.244,1.970
21397,-0.425,0.428,1.709
21454,0.656,-0.424,0.476
21505,-0.334,0.635,0.596
21556,0.114,0.216,0.876
21606,-1.038,-0.871,1.830
21658,-0.570,0.108,1.558
21709,0.049,0.339,1.128
21760,0.369,0.333,1.126
21810,0.805,-0.039,0.610
21862,0.727,-0.646,0.371
21913,0.414,0.782,0.651
21964,0.204,0.500,0.770
22015,-0.349,-0.360,1.510
22066,-0.525,-0.144,1.970
22117,-0.398,-0.128,1.764
22168,-1.305,0.576,1.909
22218,0.454,-0.510,0.646
22270,0.368,-0.801,0.492
22321,0.713,0.303,0.483
22372,0.743,0.427,0.476
22423,0.654,-0.692,0.441
22474,0.044,0.438,0.746
22524,-0.043,0.581,0.639
22576,-0.779,-0.362,1.770
22627,-0.895,0.093,1.935
22685,-0.021,0.430,0.762
22736,-0.212,0.447,1.403
22787,-1.307,0.067,1.970
22837,-0.744,-0.555,1.970
22889,-0.551,0.471,1.641
22940,0.539,-0.241,0.616
22991,0.446,-0.530,0.284
23041,1.236,0.181,0.766
23093,0.429,0.073,0.229
23143,0.612,0.092,0.603
23195,-0.108,0.209,0.944
23245,0.260,-0.223,1.196
23297,-1.338,0.173,1.970
23348,-0.837,0.247,1.795
23399,0.460,-0.403,0.745
23450,0.539,0.429,0.882
23501,0.816,-0.323,0.392
23551,0.563,0.137,0.478
23603,0.641,-0.395,0.327
23653,0.092,-0.380,0.794
23705,0.078,0.635,0.816
23755,-1.424,0.050,1.970
23807,-0.370,0.013,1.541
23857,-0.224,-0.075,1.009
