Time(ms),Ax(g),Ay(g),Az(g)
59964,-1.980,2.000,1.970
60165,-1.980,2.000,1.970
60366,-1.980,1.565,1.970
60567,-1.271,-0.085,1.970
60768,0.805,-0.191,0.675
60969,1.166,2.000,0.424
61170,1.066,1.934,-0.178
61371,0.504,-0.462,-0.004
61572,0.695,-2.000,0.701
61773,0.820,-2.000,0.796
61974,0.735,-0.901,1.481
62175,-0.272,0.497,1.869
62376,0.040,-0.251,1.891
62577,0.438,-2.000,1.911
62778,1.367,0.279,1.399
62979,0.898,1.092,0.822
63180,0.474,0.688,0.976
63381,0.900,-0.103,0.172
63582,0.621,-0.016,-0.301
63783,0.598,-0.136,-0.417
63984,0.657,-0.011,-0.135
64185,-0.639,-1.305,0.461
64386,-1.980,0.993,1.970
64587,-1.980,2.000,1.970
64788,-1.980,1.342,1.970
64989,-1.980,1.012,1.970
65190,0.179,-0.395,1.484
65391,0.913,1.038,0.282
65592,1.326,2.000,0.262
65793,0.436,-0.110,-0.468
65994,0.382,0.091,-0.197
66195,0.562,-2.000,0.295
66396,1.150,-1.494,1.584
66597,-0.172,0.357,1.809
66798,-0.394,-0.002,1.970
66999,0.502,-2.000,1.786
67200,1.258,-1.900,1.754
67401,1.110,0.650,1.596
67602,0.537,1.039,0.947
67803,0.650,-0.120,0.630
68004,0.672,-0.490,0.039
68205,0.695,-0.308,-0.554
68406,0.516,0.146,-0.498
68607,0.432,-0.271,0.165
68808,-1.401,-0.980,1.203
69009,-1.980,2.000,1.970
69210,-1.980,1.959,1.970
69411,-1.980,1.732,1.970
69612,-1.067,0.034,1.970
69813,0.679,-0.448,-0.127
70014,1.352,2.000,0.682
70215,0.654,0.580,-0.382
70416,0.660,0.926,-0.437
70617,0.876,-1.526,0.082
70818,1.082,-2.000,1.029
71019,0.419,-0.354,1.314
71220,-0.034,1.186,1.970
71421,-0.336,1.012,1.970
71622,0.862,-2.000,1.717
71823,1.486,0.435,1.653
72024,0.761,1.138,0.589
72225,0.973,0.230,0.551
72426,0.917,0.533,0.752
72627,0.648,-0.283,0.134
72828,0.737,-0.164,-0.585
73029,0.504,-0.381,-0.178
73230,-0.891,-0.659,0.114
73431,-1.980,2.000,1.970
73632,-1.980,2.000,1.970
73833,-1.980,2.000,1.970
74034,-0.787,0.526,1.704
74235,0.779,-0.810,0.316
74436,1.023,1.987,0.438
74637,1.051,2.000,0.343
74838,0.669,0.969,-0.358
75039,0.950,-1.257,-0.015
75240,0.994,-2.000,0.414
75441,1.111,-1.111,1.492
75642,0.994,-0.667,1.395
75843,-0.404,1.001,1.927
76044,0.106,-1.573,1.970
76245,1.591,-1.176,1.689
76446,0.956,1.488,0.678
76647,1.238,0.555,0.181
76848,0.720,0.627,0.823
77049,0.606,-0.831,0.181
