Time(ms),Ax(g),Ay(g),Az(g)
28447,0.811,-2.000,-0.166
28548,1.133,-2.000,0.576
28649,0.892,0.365,1.107
28750,-0.167,1.446,1.132
28851,0.468,-2.000,1.744
28952,1.172,1.428,0.493
29053,0.773,0.101,-0.386
29154,0.824,-0.503,-0.485
29255,0.674,-0.183,0.199
29356,-1.067,-0.946,0.516
29457,-1.980,1.119,1.970
29558,-1.980,2.000,1.970
29659,-1.952,0.243,1.873
29760,0.659,-0.781,0.628
29861,1.146,2.000,0.004
29962,0.834,-2.000,0.073
30063,1.364,-2.000,0.746
30164,0.739,0.288,1.049
30265,0.120,0.330,1.244
30366,0.083,-2.000,1.501
30467,1.124,-0.634,1.970
30568,0.696,1.322,1.508
30669,0.213,0.103,0.351
30770,0.642,-0.467,-0.322
30871,0.085,-0.509,-0.325
30972,-1.333,0.879,0.043
31073,-1.980,2.000,1.970
31174,-1.980,1.107,1.970
31275,0.602,-1.340,0.501
31376,1.261,0.572,0.367
31477,0.791,2.000,0.387
31578,-0.109,-2.000,0.118
31679,0.829,-2.000,1.451
31780,0.632,0.332,1.530
31881,0.170,-1.826,1.719
31982,1.499,-0.826,1.782
32083,1.239,1.949,0.855
32184,0.799,0.059,0.018
32285,0.785,-0.439,-0.061
32386,0.679,-0.260,-0.469
32487,0.226,-0.958,-0.462
32588,-1.084,1.582,0.101
32689,-1.828,2.000,1.970
32790,-1.980,0.528,1.970
32891,1.191,0.388,0.521
32992,1.457,2.000,0.305
33093,0.548,-0.958,-0.551
33194,1.209,-2.000,0.343
33295,1.249,-1.019,1.287
33396,-0.286,0.863,0.887
33497,0.333,-0.365,1.970
33598,0.985,-2.000,1.945
33699,1.325,1.325,0.929
33800,0.739,0.134,-0.252
33901,0.814,-0.091,-0.304
34002,-0.105,-0.412,0.394
34103,-1.920,-0.284,1.259
34204,-1.980,2.000,1.970
34305,-1.980,1.615,1.970
34406,-0.411,-0.497,1.635
34507,0.808,0.566,0.125
34608,1.416,2.000,0.178
34709,0.757,-1.052,-0.473
34810,1.639,-2.000,0.505
34911,0.018,0.716,1.078
35012,0.221,-1.174,1.633
35113,0.504,-1.867,1.829
35214,1.007,0.786,1.970
35315,0.532,1.059,1.225
35416,0.348,0.051,-0.166
35517,0.769,-0.011,-0.495
35618,0.799,-0.251,-0.025
35719,-1.122,-0.330,-0.225
35820,-1.980,2.000,1.970
35921,-1.857,0.240,1.970
36022,0.643,-1.291,0.376
36123,0.917,-0.185,-0.078
36224,0.967,2.000,-0.035
36325,0.235,-0.791,-0.153
36426,1.183,-2.000,0.531
36527,1.185,-1.613,1.150
36628,0.305,1.272,0.892
36729,0.096,0.493,1.507
36830,0.188,-2.000,1.559
36931,0.954,1.071,1.289
37032,0.624,0.181,0.552
37133,0.377,-0.201,-0.152
37234,0.642,-0.440,-0.638
37335,1.012,-0.187,-0.282
37436,-0.293,-0.470,0.148
37537,-1.716,-0.791,1.133
37638,-1.980,1.506,1.970
37739,-1.980,2.000,1.970
37840,0.154,-0.572,1.247
37941,0.667,-0.589,-0.324
38042,1.088,1.215,-0.177
38143,0.904,0.610,-0.430
38244,1.184,-1.952,-0.179
38345,1.672,-2.000,0.095
38446,1.225,-1.555,0.545
38547,0.736,0.549,1.501
38648,0.109,1.304,1.519
38749,0.099,0.294,1.515
38850,1.609,-1.099,1.430
38951,1.293,1.702,1.058
39052,0.942,1.412,0.056
39153,0.720,0.026,-0.172
39254,0.647,-0.059,-0.364
39355,0.471,0.039,-0.316
39456,0.699,-0.391,-0.101
39557,0.098,-0.926,-0.545
39658,-0.599,-0.417,-0.358
39759,-1.539,0.410,0.932
39860,-1.980,2.000,1.970
39961,-0.870,0.583,1.609
40062,0.641,-0.880,0.617
40163,0.733,-0.821,-0.139
40264,0.961,1.095,0.174
40365,0.956,2.000,0.077
40466,0.831,2.000,0.055
40567,0.765,0.609,-0.429
40668,0.700,-1.214,-0.056
40769,1.085,-2.000,0.833
40870,0.583,-0.743,1.714
40971,0.596,0.791,1.417
41072,0.133,0.878,1.291
41173,0.309,-1.177,1.223
41274,1.098,-2.000,1.509
41375,1.878,1.733,1.161
41476,1.009,0.886,-0.139
41577,0.823,-0.001,-0.236
41678,0.669,-0.101,-0.172
41779,-1.603,-0.783,0.504
41880,-1.980,2.000,1.970
41981,-1.980,1.539,1.970
42082,-1.980,-0.299,1.970
42183,0.953,-0.928,0.738
42284,1.360,2.000,0.386
42385,0.825,0.279,-0.419
42486,1.263,-2.000,0.028
42587,1.270,-2.000,0.483
42688,0.632,1.079,1.095
42789,0.222,-1.909,1.913
42890,0.988,-1.348,1.970
42991,0.787,1.226,0.991
43092,0.542,0.320,-0.258
43193,0.677,-0.195,-0.494
43294,0.631,-0.056,-0.000
43395,-0.744,-0.888,0.690
43496,-1.980,0.026,1.581
43603,-0.269,-1.914,1.569
43704,0.374,-1.210,0.687
43805,1.218,-2.000,0.896
43906,0.622,0.771,1.259
44007,0.478,1.553,1.462
44108,-0.123,0.319,1.582
44209,0.291,-0.300,1.393
44310,0.439,-1.864,1.736
44411,0.821,-2.000,1.558
44512,1.279,-1.341,1.345
44613,1.625,-0.059,1.345
44714,1.217,-0.056,1.489
44815,0.963,1.050,1.480
44916,0.807,1.048,1.347
45017,0.954,1.481,1.094
45118,0.928,1.797,0.798
45219,1.036,1.525,0.139
45320,1.217,0.978,0.427
45421,1.206,0.950,0.837
45522,0.921,1.141,1.257
45623,1.001,1.449,1.198
45724,0.455,1.253,0.467
45825,0.793,1.203,0.269
45926,1.227,1.051,0.467
46027,1.105,0.910,1.293
46128,1.258,0.367,1.051
46229,1.104,0.796,1.259
46330,1.494,1.573,1.133
46431,1.452,1.387,1.283
46532,1.151,0.775,1.599
46633,1.102,0.287,1.793
46734,1.286,1.086,0.860
46835,1.264,1.446,0.783
46936,1.445,1.581,0.762
47037,1.030,1.455,0.940
47138,0.886,1.078,1.903
47239,1.126,0.420,1.970
47340,1.002,-1.230,1.472
47441,1.210,-1.249,1.345
47542,1.398,-1.092,1.146
47643,0.689,-1.232,1.675
47744,0.787,0.390,1.905
47845,0.802,-0.914,1.970
47946,0.635,-2.000,1.354
48047,0.939,-2.000,1.049
48148,0.524,-2.000,1.399
48249,0.230,-1.803,1.637
48350,0.051,-1.531,1.753
48451,0.320,-0.810,1.961
48552,0.230,-1.115,1.877
48653,0.123,-2.000,1.630
48754,-0.266,-1.551,1.775
48855,-0.076,0.113,1.645
48956,0.393,1.599,1.384
49057,0.242,2.000,1.184
49158,0.416,1.896,1.068
49259,0.485,0.048,1.114
49360,1.271,-1.546,1.298
49461,0.657,-2.000,0.602
49562,0.427,-2.000,1.119
49663,0.451,-2.000,0.993
49764,1.494,-2.000,0.423
49865,0.988,-2.000,0.504
49966,0.043,-1.765,0.805
50067,-0.662,-1.605,0.824
50168,-0.056,-0.489,0.632
50269,0.579,0.469,-0.139
50370,0.946,0.935,-0.169
50471,1.033,2.000,0.220
50572,0.595,2.000,0.939
50673,-0.200,1.052,0.703
50774,0.610,1.052,0.093
50875,0.860,0.728,-0.160
50976,1.197,1.534,0.204
51077,0.945,2.000,0.672
51178,0.981,2.000,0.544
51279,1.052,2.000,0.709
51380,1.300,1.194,0.330
51481,0.872,0.612,0.407
51582,0.855,-0.077,0.072
51683,0.656,2.000,0.782
51784,0.815,2.000,-0.203
51885,-0.127,-2.000,0.237
51986,1.286,-2.000,1.509
52087,0.613,0.606,1.616
52188,-0.465,0.135,1.970
52289,0.025,-2.000,1.575
52390,1.224,-0.503,1.848
52491,0.860,1.538,1.323
52592,0.283,0.140,0.496
52693,0.963,0.027,-0.238
52794,0.258,-0.845,-0.400
52895,-1.152,0.388,-0.209
52996,-1.980,2.000,1.970
53097,-1.980,1.248,1.970
53198,-1.354,-0.474,1.970
53299,0.976,-0.420,0.329
53400,1.772,2.000,0.440
53501,0.663,0.963,-0.213
53602,0.473,-2.000,0.162
53703,0.377,1.167,1.506
53804,-0.083,0.404,1.689
53905,0.836,-2.000,1.384
54006,1.782,0.349,1.221
54107,0.970,1.539,0.360
54208,0.438,-0.368,-0.281
54309,0.891,-0.155,-0.354
54410,0.498,0.410,0.114
54511,-0.960,-1.295,0.362
54612,-1.980,1.133,1.970
54713,-1.980,0.842,1.970
54814,-0.217,-0.318,1.746
54915,0.968,1.141,0.051
55016,1.966,2.000,0.049
55117,0.701,0.574,-0.650
55218,0.875,-1.637,-0.080
55319,1.120,-2.000,0.501
55420,0.767,-2.000,1.431
55521,0.578,0.597,1.325
55622,0.395,-1.569,1.897
55723,0.808,-2.000,1.358
55824,1.988,0.402,1.117
55925,1.303,1.185,0.309
56026,0.929,-0.196,-0.328
56127,0.830,-0.682,-0.133
56228,0.648,-0.426,-0.241
56329,0.859,-0.178,-0.458
56430,0.288,-0.848,-0.348
56531,-1.088,-0.530,0.007
56632,-1.980,2.000,1.970
56733,-1.980,2.000,1.970
56834,-1.980,0.052,1.970
56935,0.288,-0.805,0.282
57036,0.585,-0.720,0.036
57137,0.746,0.096,0.108
57238,0.982,1.732,0.677
57339,1.424,2.000,0.271
57440,1.392,2.000,0.610
57541,0.643,-0.049,-0.626
57642,0.845,-2.000,0.802
57743,1.134,-2.000,0.701
57844,1.351,-1.199,1.388
57945,0.497,1.025,1.239
58046,-0.015,1.177,1.516
58147,0.182,-1.019,1.765
58248,0.605,-2.000,1.241
58349,1.023,-1.761,1.195
58450,1.418,0.049,1.562
58551,1.114,1.048,1.520
